City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,lebu,-37.6167,-73.65,11.68,70,66,1.08,CL,1712807406
210,kalamata,37.0389,22.1142,15.06,75,0,1.54,GR,1712807408
211,wamba,8.9333,8.6,27.16,41,99,1.11,NG,1712807409
212,hawaiian paradise park,19.5933,-154.9731,23.73,87,100,3.6,US,1712807411
213,burnie,-41.0667,145.9167,18.58,53,27,2.65,AU,1712807133
214,hanko,59.8333,22.95,4.35,86,19,15.2,FI,1712807413
215,juan griego,11.0817,-63.9655,25.75,84,5,4.94,VE,1712807414
216,siroki brijeg,43.3833,17.5928,9.51,84,100,3.67,BA,1712807415
217,suez,29.9737,32.5263,15.86,81,0,3.23,EG,1712807416
218,saint-leu,-21.15,55.2833,24.48,75,92,1.83,RE,1712807417
219,neryungri,56.6709,124.6491,0.69,91,33,3.41,RU,1712807419
220,sabang,5.8933,95.3214,28.97,76,52,7.93,ID,1712807201
221,selfoss,63.9331,-20.9971,2.8,94,100,8.67,IS,1712807165
222,mukalla,14.5425,49.1242,26.1,73,15,1.75,YE,1712807422
223,bel ombre,-4.6167,55.4167,27.91,83,75,4.63,SC,1712807423
224,vernon,50.2581,-119.2691,11.2,45,100,0.51,CA,1712807178
225,cosquin,-31.2451,-64.4656,12.58,98,100,2.49,AR,1712807254
226,huarmey,-10.0681,-78.1522,22.65,82,91,3.46,PE,1712807427
227,cambria,35.5641,-121.0808,22.41,81,44,0.86,US,1712807369
228,utrik,11.2278,169.8474,26.6,79,91,10.07,MH,1712807429
229,kertih,4.5141,103.4483,31.01,70,40,3.6,MY,1712807430
230,crane,31.3974,-102.3501,16.5,29,0,4.29,US,1712807432
231,badger,64.8,-147.5333,9.14,46,20,2.57,US,1712807433
232,wyndham vale,-37.8869,144.6241,19.18,66,99,4.19,AU,1712807434
233,kyshtovka,56.555,76.6271,-4.25,87,100,2.68,RU,1712807435
234,port alfred,-33.5906,26.891,16.55,67,75,6.49,ZA,1712807181
235,tazovsky,67.4667,78.7,-24.14,96,63,2.64,RU,1712807439
236,al ghayzah,16.2079,52.176,27.67,67,18,5.04,YE,1712807440
237,kudahuvadhoo,2.6708,72.8944,29.6,68,86,3.64,MV,1712807441
238,bandundu,-3.3167,17.3667,23.01,92,95,0.84,CD,1712807442
239,kentville,45.0835,-64.4988,5.01,75,100,0.51,CA,1712807444
240,kiama,-34.6833,150.8667,22.99,55,3,5.6,AU,1712807445
241,yishui,35.7847,118.6281,23.35,44,28,4.24,CN,1712807446
242,whitehorse,60.7161,-135.0538,5.43,38,75,4.63,CA,1712807200
243,yegorlykskaya,46.5656,40.6562,13.38,70,0,3.67,RU,1712807448
244,ariquemes,-9.9133,-63.0408,23.68,96,92,0.32,BR,1712807450
245,huilong,31.8111,121.655,16.57,82,97,5.34,CN,1712807451
246,alice springs,-23.7,133.8833,24.01,23,5,6.69,AU,1712807192
247,happy valley-goose bay,53.3168,-60.3315,-3.83,86,0,2.06,CA,1712807453
248,klyuchi,52.2667,79.1667,2.8,93,100,2.95,RU,1712807226
249,haiku-pauwela,20.9219,-156.3051,28.01,65,20,5.14,US,1712807205
250,mermoz boabab,14.7065,-17.4758,19.31,91,0,5.92,SN,1712807456
251,manokwari,-0.8667,134.0833,26.57,80,100,0.95,ID,1712807173
252,mozdok,43.7492,44.6881,11.78,80,100,2.03,RU,1712807459
253,tolanaro,-25.0319,46.9987,27.04,69,75,5.14,MG,1712807168
254,puerto aysen,-45.4,-72.7,2.36,94,4,1.27,CL,1712807461
255,olyokminsk,60.3736,120.4264,3.72,61,100,2.36,RU,1712807462
256,qobustan,40.0824,49.412,15.9,59,100,8.69,AZ,1712807464
257,bonthe,7.5264,-12.505,25.14,92,96,1.77,SL,1712807465
258,cannonvale,-20.2833,148.7,23.66,58,2,6.28,AU,1712807466
259,aswan,24.0934,32.907,19.11,35,9,4.31,EG,1712807468
260,tulun,54.5611,100.5792,2.28,89,100,2.42,RU,1712807297
261,atherton,53.5237,-2.4935,12.94,91,98,0.89,GB,1712807470
262,teknaf,20.8624,92.3058,32.3,36,2,2.47,BD,1712807471
263,north bend,43.4065,-124.2243,9.95,87,75,5.14,US,1712807472
264,new richmond,45.123,-92.5366,12.19,73,0,2.06,US,1712807378
265,ayorou,14.7308,0.9174,32.35,23,74,3.36,NE,1712807476
266,kingston,17.997,-76.7936,27.53,78,20,8.23,JM,1712807477
267,georgetown,5.4112,100.3354,33.3,60,20,3.09,MY,1712807251
268,louis trichardt,-23.0439,29.9032,15.87,89,99,4.65,ZA,1712807479
269,dhidhdhoo,6.8833,73.1,29.31,72,10,4.15,MV,1712807482
270,guerrero negro,27.9769,-114.0611,17.61,68,24,5.24,MX,1712807286
271,giado,31.9582,12.0203,11.16,89,89,5.57,LY,1712807486
272,luderitz,-26.6481,15.1594,19.8,54,0,4.14,NA,1712807487
273,parkes,-33.1333,148.1833,22.42,41,0,3.0,AU,1712807489
274,williams lake,52.1415,-122.1445,10.76,34,100,2.57,CA,1712807255
275,sola,-13.8833,167.55,31.37,79,75,1.54,VU,1712807492
276,inhambane,-23.865,35.3833,21.98,81,100,3.9,MZ,1712807493
277,nizhneudinsk,54.9076,99.0276,3.16,85,100,2.09,RU,1712807494
278,vilyuchinsk,52.9306,158.4028,4.15,73,35,15.77,RU,1712807225
279,gaalkacyo,6.7697,47.4308,25.81,77,8,5.25,SO,1712807497
280,saint-joseph,-21.3667,55.6167,25.21,75,73,1.8,RE,1712807498
281,novoishimskiy,53.1981,66.7694,1.53,74,25,2.79,KZ,1712807500
282,port mathurin,-19.6833,63.4167,26.81,78,29,4.72,MU,1712807501
